Código,"Nome da Empresa","Setor de Atuação","Receita Total"
130,"Community Health Systems, Inc.","Assistência médica",21374
131,"Starbucks Corporation","Hotéis, Restaurantes e Lazer",21316
132,"Eli Lilly and Company","Assistência médica",21222
133,"International Paper Company",Materiais,21079
134,"Tenet Healthcare Corporation","Assistência médica",21070
135,"Abbott Laboratories","Assistência médica",20853
136,"Dollar Tree, Inc.",Varejo,20719
137,"Whirlpool Corporation",Industrial,20718
138,"Southwest Airlines Co.",Transporte,20425
139,"Emerson Electric Co.",Industrial,20268
140,"Staples, Inc.",Varejo,20217
141,"Plains GP Holdings, L.P.",Energia,20182
142,"Penske Automotive Group, Inc.",Varejo,20143
143,"Union Pacific Corporation",Transporte,19941
144,"Danaher Corporation",Tecnologia,19912
145,"The Southern Company",Energia,19896
146,"ManpowerGroup Inc.","Prestação de Serviços",19654
147,"Bristol-Myers Squibb Company","Assistência médica",19427
148,"Altria Group, Inc.","Alimentos, Bebidas e Tabaco",19337
149,"Fluor Corporation","Engenharia e Construção",19037
150,"Kohl's Corporation",Varejo,18686
151,"Lear Corporation","Veículos motorizados",18558
152,"Jabil Circuit, Inc.",Tecnologia,18353
153,"The Hartford Financial Services Group, Inc.",Finanças,18300
154,"Thermo Fisher Scientific Inc.",Tecnologia,18274
155,"Kimberly-Clark Corporation","Produtos para o lar",18202
156,"Molina Healthcare, Inc.","Assistência médica",17782
157,"PG&E Corporation",Energia,17666
158,"Supervalu Inc.","Lojas e Drogarias",17529
159,"Cummins Inc.",Industrial,17509
160,"CenturyLink, Inc.",Telecomunicações,17470
161,AECOM,"Engenharia e Construção",17411
162,"Xerox Corporation",Tecnologia,17126
163,"Marriott International, Inc.","Hotéis, Restaurantes e Lazer",17072
164,"PACCAR Inc",Industrial,17033
165,"General Mills, Inc.","Alimentos, Bebidas e Tabaco",16563
166,"The PNC Financial Services Group, Inc.",Finanças,16423
167,"American Electric Power Company, Inc.",Energia,16380
168,"Icahn Enterprises L.P.",Finanças,16348
169,"Nucor Corporation",Materiais,16208
170,"NextEra Energy, Inc.",Energia,16155
171,"Performance Food Group Company",Atacadista,16105
172,"PBF Energy Inc.",Energia,15920
173,"Halliburton Company",Energia,15887
174,"CarMax, Inc.",Varejo,15833
175,"Freeport-McMoRan Inc.",Energia,15789
176,"Whole Foods Market, Inc.","Lojas e Drogarias",15724
177,"The Bank of New York Mellon Corporation",Finanças,15683
178,"The Gap, Inc.",Varejo,15516
179,"Omnicom Group Inc.","Prestação de Serviços",15417
180,"Genuine Parts Company",Atacadista,15340
181,"DaVita Inc.","Assistência médica",15197
182,"Colgate-Palmolive Company","Produtos para o lar",15195
183,"PPG Industries, Inc.","Produtos químicos",15178
184,"The Goodyear Tire & Rubber Company","Veículos motorizados",15158
185,"Synchrony Financial",Finanças,15122
186,"DISH Network Corporation",Telecomunicações,15095
187,"Visa Inc.","Prestação de Serviços",15082
188,"Nordstrom, Inc.",Varejo,14757
189,"INTL FCStone Inc.",Finanças,14755
190,"WestRock Company",Materiais,14706
191,"XPO Logistics, Inc.",Transporte,14619
192,Aramark,"Prestação de Serviços",14416
193,"CBS Corporation",Midia,14386
194,"The AES Corporation",Energia,14287
195,"WellCare Health Plans, Inc.","Assistência médica",14237
196,"FirstEnergy Corp.",Energia,14156
197,"Conagra Brands, Inc.","Alimentos, Bebidas e Tabaco",14134
198,"Synnex Corporation",Atacadista,14062
199,"CDW Corporation",Tecnologia,13982
200,"Textron Inc.","Aeroespacial e Defesa",13788
201,"Waste Management, Inc.","Prestação de Serviços",13609
202,"Illinois Tool Works Inc.",Industrial,0
203,"Office Depot, Inc.",Varejo,13585
204,"Monsanto Company","Produtos químicos",13502
205,"Cognizant Technology Solutions Corporation",Tecnologia,13487
206,"Texas Instruments Incorporated",Tecnologia,13370
207,"Lincoln National Corporation",Finanças,13330
208,"Newell Brands Inc.","Produtos para o lar",13264
209,"Land O'Lakes, Inc.","Alimentos, Bebidas e Tabaco",13233
210,"Marsh & McLennan Companies, Inc.",Finanças,13211
211,"Ecolab Inc.","Produtos químicos",13153
212,"C. H. Robinson Worldwide, Inc.",Transporte,13144
213,"Loews Corporation",Finanças,13105
214,"CBRE Group, Inc.",Finanças,13072
215,"Kinder Morgan, Inc.",Energia,13058
216,"Kellogg Company","Alimentos, Bebidas e Tabaco",13014
217,"Western Digital Corporation",Tecnologia,12994
218,"Guardian Life Ins. Co. of America",Finanças,12919
219,"Ross Stores, Inc.",Varejo,12867
220,"L Brands, Inc.",Varejo,12574
221,"J.C. Penney Company, Inc.",Varejo,12547
222,"Farmers Insurance Exchange",Finanças,12513
223,"Reynolds American Inc.","Alimentos, Bebidas e Tabaco",12503
224,"Viacom Inc.",Midia,12488
225,"Becton, Dickinson and Company","Assistência médica",12483
226,"Micron Technology, Inc.",Tecnologia,12399
227,"Principal Financial Group, Inc.",Finanças,12394
228,"Arconic Inc.","Aeroespacial e Defesa",12394
229,"NRG Energy, Inc.",Energia,12351
230,"V.F. Corporation",Roupas,12207
231,"Devon Energy Corporation",Energia,12197
232,"D.R. Horton, Inc.","Engenharia e Construção",12157
233,"Bed Bath & Beyond Inc.",Varejo,12104
234,"Consolidated Edison, Inc.",Energia,12075
235,"Edison International",Energia,11869
236,"The Sherwin-Williams Company","Produtos químicos",11856
237,"NGL Energy Partners LP",Energia,11742
238,"Dominion Energy, Inc.",Energia,11737
239,"Ameriprise Financial, Inc.",Finanças,11735
240,"Automatic Data Processing, Inc.","Prestação de Serviços",11668
241,"Hilton Worldwide Holdings Inc.","Hotéis, Restaurantes e Lazer",11663
242,"First Data Corporation","Prestação de Serviços",11584
243,"Henry Schein, Inc.",Atacadista,11572
244,"Toys "R"" Us, Inc."",Varejo,11540
245,"BB&T Corporation",Finanças,11538
246,"Reinsurance Group of America, Incorporated",Finanças,11522
247,"Core-Mark Holding Company, Inc.",Atacadista,11507
248,"Biogen Inc.","Assistência médica",11449
249,"Las Vegas Sands Corp.","Hotéis, Restaurantes e Lazer",11410
250,"Stanley Black & Decker, Inc.","Produtos para o lar",11407
251,"Parker-Hannifin Corporation",Industrial,11361
252,"Stryker Corporation","Assistência médica",11325
253,"The Estee Lauder Companies Inc.","Produtos para o lar",11262
254,"Celgene Corporation","Assistência médica",11229
255,"BlackRock, Inc.",Finanças,11155
256,"Xcel Energy Inc.",Energia,11107
257,"CSX Corporation",Transporte,11069
258,"Unum Group",Finanças,11047
259,"Jacobs Engineering Group Inc.","Engenharia e Construção",10964
260,"Lennar Corporation","Engenharia e Construção",10950
261,"Group 1 Automotive, Inc.",Varejo,10888
